Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,1.2277,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.8206,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,1.0907,0,5,5,5,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/ZO_RAI_FU.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,0,1.6561,0,6,6,6,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/BA_KAY_LI.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.1247,0,7,7,7,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/VAI_HO_LA.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,1.0085,0,8,8,8,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,1,0.4081,0,9,9,9,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,3.0538,0,10,10,10,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/NO_WA_BAY.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,1.9042,0,11,11,11,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,1,2.0086,0,12,12,12,1,1,OLD,OLD,,,,,,,,
