Subject,Age,Old.Old,Old.New,New.Lure,Old.Lure,New.New,New.Old,Recog,Disc,LDI,Headphone,mstOrder,Exclusion,Word,Partword,Nonword,Fam.Diff,AFC,Pos1,Pos2,Pos3,Diff,Headphone,Syllable,Color,Food,Drink,Pause_hit,Pause_RT,slOrder,Counterbalance,AgeinYrs,Gender,Yrs of Education,Meet eligibility criteria,Left Hearing,Right Hearing,Note
5f607efeea3f070107273203,OA,0.994457883,-1.174986792,-0.150969215,0.150969215,1.174986792,-0.994457883,2.169444675,0.843488668,0.28,6,1,exc,3.25,4,3,0.25,0.75,0.646639024,0.600941667,0.61814,0.028499024,6,5,Blue,Chinese,Red Wine,17,0.919929412,2,1,71,Male,14,Yes,Loss,Loss,
5b100cb0a3553300017541c8,OA,1.080319341,-0.841621234,-0.467698799,0.467698799,0.841621234,-1.080319341,1.921940574,0.612620542,0.18,3,2,exc,3.5,4,3.5,0,0.8125,0.5862,0.55495122,0.51615625,0.07004375,4,4,Green,Pasta,Tea,18,0.500166667,1,2,61,Female,14,Yes,Loss,Loss,
5ea00e67848a4300085fa5cd,OA,1.40507156,-0.994457883,-0.358458793,0.358458793,0.994457883,-1.40507156,2.399529444,1.046612767,0.28,6,2,exc,3.75,3,3.5,0.25,0.6875,0.558275556,0.526716667,0.527895652,0.030379904,6,5,yellow,salmon,coffee,18,1.026566667,1,2,61,Female,11,Yes,Loss,Loss,
5f6f7258aa7332501adb94f4,OA,0.150969215,-1.750686071,0.706302563,-0.706302563,1.750686071,-0.150969215,1.901655287,0.857271778,0.32,0,2,exc,3.25,3.75,3.5,-0.25,0.5625,0.474417241,0.523495652,0.5016,-0.027182759,5,5,yellow ,burger,beer,18,0.512305556,1,2,62,Male,15,Yes,Loss,Loss,
5986038865326000012c1578,OA,1.750686071,-1.40507156,-0.467698799,0.467698799,1.40507156,-1.750686071,3.155757632,1.282987272,0.28,6,,,3.25,2.5,1.75,1.5,0.625,0.633009302,0.599028889,0.587229412,0.045779891,6,4,blue,steak,tea,18,1.040688889,,2,70,Female,16,Yes,Normal hearing,Normal hearing,
606212affa13aada679c17b2,OA,0.706302563,-3.09023,0.358458793,-0.358458793,3.09023,-0.706302563,3.796532563,1.064761356,0.4,5,,,4,4,3.25,0.75,0.75,0.585197368,0.508395122,0.52627381,0.058923559,6,5,red,nuddles,Coke,18,0.486333333,,2,66,Female,15,No (don't speak English as first language),Normal hearing,Normal hearing,"Actually I didn't hear anything, it might be the connection issue."
60c0c4333e49151d768bb35b,OA,1.281551566,-1.750686071,-0.050153583,0.050153583,1.750686071,-1.281551566,3.032237637,1.231397982,0.38,6,2,exc,4,3.25,1.75,2.25,0.6875,0.668933333,0.692561765,0.635557143,0.03337619,6,5,green,cheese,ginger ale,12,0.732808333,,2,68,Female,19,Yes,Normal hearing,Normal hearing,Thank you! This was fascinating and useful.
5b82be6543bc4900017ef3de,OA,0.706302563,-1.750686071,0.358458793,-0.358458793,1.750686071,-0.706302563,2.456988634,1.064761356,0.4,6,,,3.5,2.75,2.25,1.25,0.75,0.540991667,0.5134125,0.496072727,0.044918939,6,5,green,chocolate,tea,18,0.469255556,,1,74,Female,16,Yes,Normal hearing,Normal hearing,
5ded58a8217786000b2b2511,OA,0.201893479,-1.750686071,0.582841507,-0.582841507,1.750686071,-0.201893479,1.95257955,0.784734986,0.3,6,,,2.5,3.25,2.5,0,0.6875,0.611095,0.5796565,0.578287889,0.032807111,6,5,Orange,Indian,Tea,18,0.463986667,,1,65,Male,14,Yes,Normal hearing,Normal hearing,
60381c56a3d28f19c7093147,OA,1.080319341,-1.750686071,-0.253347103,0.253347103,1.750686071,-1.080319341,2.831005412,0.826972238,0.26,6,,,2.5,3.25,2.5,0,0.5625,0.583479545,0.541309091,0.545735897,0.037743648,5,5,purple,Pork crackling,coffee,18,0.428183333,,1,86,Female,13,Yes,Normal hearing,Normal hearing,
5592fd82fdf99b59a8fb1e61,OA,0.201893479,-1.174986792,0.582841507,-0.582841507,1.174986792,-0.201893479,1.376880271,0.784734986,0.3,6,1,,3,3,2.5,0.5,0.625,0.573102326,0.556984091,0.532091667,0.041010659,6,5,cream,pasta,tea,18,1.224822222,2,1,66,Female,11,Yes,Loss,Normal hearing,
57698d52688a5c00018d958d,OA,0.100433721,-1.40507156,1.750686071,-1.750686071,1.40507156,-0.100433721,1.505505281,1.851119792,0.5,6,2,,3.5,3.5,3.25,0.25,0.625,0.52309,0.51798,0.46474,0.05835,6,5,green,melon,tea,18,0.994105556,1,2,61,Female,12,Yes,Normal hearing,Normal hearing,
578bb26f6cc44500010448c8,OA,0.772193214,0.050153583,-0.253347103,0.253347103,-0.050153583,-0.772193214,0.722039631,0.518846111,0.18,6,1,,3.5,4,4,-0.5,0.4375,0.477,0.534833333,0.467463415,0.009536585,6,5,blue,fish,soda and lime,15,0.372866667,2,1,66,Female,10,Yes,Normal hearing,Loss,I still feel my hearing is good for my age and have had a hearing test before and will continue to do this in the future.
5da9a1659413e4001505d7f7,OA,0.050153583,-0.994457883,1.174986792,-1.174986792,0.994457883,-0.050153583,1.044611467,1.225140376,0.4,5,2,,3.75,3,2.75,1,0.875,0.440005128,0.42535814,0.419835714,0.020169414,6,5,Grey,Chocolate,Tea,18,0.618688889,1,2,62,Male,12,Yes,Normal hearing,Normal hearing,Very interesting study it was clear and well presented.
5ec79cbd44972a1fceed2719,OA,1.40507156,-3.09023,1.750686071,-1.750686071,3.09023,-1.40507156,4.49530156,3.155757632,0.88,6,2,out,3.25,2.5,2.25,1,0.9375,0.50612766,0.547554167,0.554741304,-0.048613644,6,5,blue,chilli,cider,18,0.954111111,1,2,60,Male,14,Yes,Normal hearing,Normal hearing,
5f2178ec626bc35254b5145e,OA,0.772193214,-0.467698799,-0.841621234,0.841621234,0.467698799,-0.772193214,1.239892013,-0.069428019,-0.02,6,1,out,2.5,3.25,3.25,-0.75,0.4375,0.562047619,0.4855,0.482660606,0.079387013,5,5,green,chinese,processo,18,0.698944444,2,1,67,Female,15,Yes,Normal hearing,Loss,
6086c333d6eb73cfdd564e90,OA,0.358458793,-3.09023,1.40507156,-1.40507156,3.09023,-0.358458793,3.448688793,1.763530354,0.56,6,1,,3,2.25,2.5,0.5,0.75,0.488345652,0.49811087,0.459855,0.028490652,6,5,yellow,Cheese,water,18,0.488144444,2,1,67,Male,11,Yes,Normal hearing,Normal hearing,
60c0826eb20ec98f5690109d,OA,1.750686071,-1.750686071,1.174986792,-1.174986792,1.750686071,-1.750686071,3.501372143,2.925672863,0.84,6,2,out,4,3.25,3.5,0.5,0.875,0.504504255,0.48193125,0.484997619,0.019506636,6,5,purple,bread,wine,18,0.663872222,1,2,60,Female,14,Yes,Normal hearing,Normal hearing,
60d7de8c5f5bcb8332d5e1a0,OA,1.174986792,-0.994457883,-0.050153583,0.050153583,0.994457883,-1.174986792,2.169444675,1.124833209,0.36,6,1,,3.5,2.5,2.75,0.75,0.5,0.527339474,0.520372093,0.514424444,0.01291503,6,5,black,mac&cheese,snaaps,18,0.524822222,2,1,67,Male,21,Yes,Normal hearing,Normal hearing,
60dc3437a927158774f209e1,OA,-0.150969215,-1.40507156,0.994457883,-0.994457883,1.40507156,0.150969215,1.254102345,0.843488668,0.28,4,2,,3.75,3,3.25,0.5,0.4375,0.484646809,0.482594595,0.514332558,-0.029685749,6,5,red,liver and onions,tea,18,0.621605556,1,2,61,Female,12,Yes,Normal hearing,Normal hearing,
6030cf35e7fec0f5c6d201c5,OA,0.706302563,-3.09023,-0.050153583,0.050153583,3.09023,-0.706302563,3.796532563,0.656148979,0.24,5,1,,3.25,2.5,2.75,0.5,0.5,0.64895814,0.580059091,0.531238636,0.117719503,1,5,blue,cheese,coffee,18,0.532338889,2,1,62,Female,17,Yes,Normal hearing,Normal hearing,
