Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
,,,,,,,,,,,,,,,,TestWords/BA_KAY_LI.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.6615,0,7,7,7,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/VAI_HO_LA.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.568,0,8,8,8,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,1,0.3342,0,9,9,9,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.9307,0,10,10,10,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/NO_WA_BAY.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.2157,0,11,11,11,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,1,0.8147,0,12,12,12,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/WAI_VU_NA.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.8656,0,13,13,13,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAY_LI_BA.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,0,0.5724,0,14,14,14,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/FU_RAI_ZO.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.9558,0,15,15,15,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.5668,0,16,16,16,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,1,0.5008,0,17,17,17,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,1,0.3234,0,18,18,18,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/WAI_NA_VU.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,0,0.4353,0,19,19,19,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,0,0.5301,0,20,20,20,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAY_BA_LI.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,0,0.4257,0,21,21,21,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,0,0.8675,0,22,22,22,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/FU_ZO_RAI.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,1.1042,0,23,23,23,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,1,0.2595,0,24,24,24,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,1,0.3649,0,25,25,25,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/VU_NA_WAI.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.6167,0,26,26,26,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAI_FU_ZO.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,0,0.8344,0,27,27,27,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,1,0.2685,0,28,28,28,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/LI_BA_KAY.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.4168,0,29,29,29,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,0,0.6873,0,30,30,30,1,1,OLD,OLD,,,,,,,,
