Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran
,,,,,,,,,,,,,,,,TestWords/KAY_LI_BA.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,1.5514,0,17,17,17,1,2,NEW,SIMILAR,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.3198,0,18,18,18,1,2,NEW,NEW,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.3527,0,19,19,19,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/VU_WAI_NA.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,0,0.6858,0,20,20,20,1,2,NEW,SIMILAR,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,0.8193,0,21,21,21,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/HI_NAY_VA.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.252,0,22,22,22,1,2,NEW,NEW,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.2695,0,23,23,23,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.9358,0,24,24,24,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.752,0,25,25,25,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/NA_VU_WAI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.3949,0,26,26,26,1,2,NEW,SIMILAR,,,,,
