Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,ContinueButton.keys,ContinueButton.rt,ExposureIntroKey.keys,ExposureIntroKey.rt,ExposureLoop.thisRepN,ExposureLoop.thisTrialN,ExposureLoop.thisN,ExposureLoop.thisIndex,ExposureLoop.ran,Position,Sound,SyllableFile,participant,date,expName,psychopyVersion,OS,frameRate,PauseCheckKey.keys,PauseCheckKey.rt,PauseOnOff.thisRepN,PauseOnOff.thisTrialN,PauseOnOff.thisN,PauseOnOff.thisIndex,PauseOnOff.ran
,,,,,,,,,,,,0,105,105,105,1,1,re,SL_Sounds/re.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,106,106,106,1,2,ge,SL_Sounds/ge.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,107,107,107,1,3,me,SL_Sounds/me.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,108,108,108,1,1,fe,SL_Sounds/fe.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,109,109,109,1,2,ti,SL_Sounds/ti.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,110,110,110,1,3,su,SL_Sounds/su.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,111,111,111,1,1,re,SL_Sounds/re.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,112,112,112,1,2,ge,SL_Sounds/ge.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,113,113,113,1,3,me,SL_Sounds/me.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,114,114,114,1,1,ta,SL_Sounds/ta.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,115,115,115,1,2,fu,SL_Sounds/fu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,116,116,116,1,3,ko,SL_Sounds/ko.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
