Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueButton.keys,ContinueButton.rt,Condition,ExposureIntroKey.keys,ExposureIntroKey.rt,ExposureLoop.thisRepN,ExposureLoop.thisTrialN,ExposureLoop.thisN,ExposureLoop.thisIndex,ExposureLoop.ran,Position,Sound,SyllableFile,PauseCheckKey.keys,PauseOnOff.thisRepN,PauseOnOff.thisTrialN,PauseOnOff.thisN,PauseOnOff.thisIndex,PauseOnOff.ran
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,28,28,28,1,2,ru,SL_Sounds/ru.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,29,29,29,1,3,pu,SL_Sounds/pu.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,30,30,30,1,1,me,SL_Sounds/me.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,31,31,31,1,2,re,SL_Sounds/re.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,32,32,32,1,3,ge,SL_Sounds/ge.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,33,33,33,1,1,su,SL_Sounds/su.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,34,34,34,1,2,fe,SL_Sounds/fe.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,35,35,35,1,3,ti,SL_Sounds/ti.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,36,36,36,1,1,ni,SL_Sounds/ni.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,37,37,37,1,2,ru,SL_Sounds/ru.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,38,38,38,1,3,pu,SL_Sounds/pu.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,39,39,39,1,1,ko,SL_Sounds/ko.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,40,40,40,1,2,ta,SL_Sounds/ta.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,41,41,41,1,3,fu,SL_Sounds/fu.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,42,42,42,1,1,me,SL_Sounds/me.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,43,43,43,1,2,re,SL_Sounds/re.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,44,44,44,1,3,ge,SL_Sounds/ge.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,45,45,45,1,1,su,SL_Sounds/su.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,46,46,46,1,2,fe,SL_Sounds/fe.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,47,47,47,1,3,ti,SL_Sounds/ti.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,48,48,48,1,1,me,SL_Sounds/me.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,49,49,49,1,2,re,SL_Sounds/re.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,50,50,50,1,3,ge,SL_Sounds/ge.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,51,51,51,1,1,su,SL_Sounds/su.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,52,52,52,1,2,fe,SL_Sounds/fe.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,53,53,53,1,3,ti,SL_Sounds/ti.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,54,54,54,1,1,ni,SL_Sounds/ni.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,55,55,55,1,2,ru,SL_Sounds/ru.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
