VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Type,StartTast.keys,StartTast.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,WordCorrect,Correct_type,WordType,Condition,WordTask.thisRepN,WordTask.thisTrialN,WordTask.thisN,WordTask.thisIndex,WordTask.ran,ExitKey.keys,ExitKey.rt,Feedbackbox.text
,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,0.454,0,83,83,83,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,0.6447,0,84,84,84,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,0.2589,0,85,85,85,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/NO_WA_BAY.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,0.4482,0,86,86,86,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/FU_ZO_RAI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,0.9896,0,87,87,87,1,2,NEW,SIMILAR,F,,,,,,,,
,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,2.8767,0,88,88,88,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/PU_MO_DAY.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,0,1.1772,0,89,89,89,1,2,NEW,SIMILAR,F,,,,,,,,
,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,0.1777,0,90,90,90,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,0.0674,0,91,91,91,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/RAI_FU_ZO.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,0,0.1961,0,92,92,92,1,2,NEW,SIMILAR,F,,,,,,,,
,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,0.0618,0,93,93,93,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/HA_SI_JAI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,0.5697,0,94,94,94,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/MO_PU_DAY.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,1.6026,0,95,95,95,1,2,NEW,SIMILAR,F,,,,,,,,
,,,,,,,,,,,,TestWords/LA_ZAY_CHAI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,0.8098,0,96,96,96,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,0.08,0,97,97,97,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/ZO_FU_RAI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,0,1.6052,0,98,98,98,1,2,NEW,SIMILAR,F,,,,,,,,
,,,,,,,,,,,,TestWords/WAI_RO_JU.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,0.8108,0,99,99,99,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,
,,,,,,,,,,,,,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,7.6496,
